범죄대분류,중구,서구,동구,영도구,부산진구,동래구,남구,북구,강서구,해운대구,사하구,금정구,연제구,수영구,사상구,기장군
강력범죄,48,36,64,50,366,111,112,102,61,156,105,84,90,109,88,62
교통범죄,329,388,448,354,1473,744,713,529,965,1123,829,627,573,671,844,947
마약범죄,42,55,77,44,252,195,146,72,39,165,108,56,112,70,88,68
병역범죄,6,13,8,10,129,32,26,24,17,43,41,19,22,25,38,15
보건범죄,41,40,34,75,259,66,102,61,47,204,112,94,41,294,67,79
절도범죄,656,714,555,468,2592,1330,684,1011,476,1534,940,880,930,667,951,661
지능범죄,989,1013,1165,864,5099,2042,2870,1849,1760,3824,2534,2722,2743,1214,2617,1789
특별경제범죄,160,151,181,109,589,203,306,265,202,429,301,355,415,173,276,210
폭력범죄,698,500,751,570,2679,1250,996,957,616,1422,1277,836,1179,917,1028,772
풍속범죄,28,40,50,34,282,120,122,78,72,162,127,405,307,135,110,73
총합,2997,2950,3333,2578,13720,6093,6077,4948,4255,9062,6374,6078,6412,4275,6107,4676
